Date,Holiday
2026-01-01,New Year's Day
2026-03-08,Women's Day
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-05-01,Labor Day
2026-05-14,Ascension Day
2026-05-25,Whit Monday
2026-10-03,German Unity Day
2026-12-25,Christmas Day
2026-12-26,Boxing Day (Second Christmas Day)
